Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds,ID,SMILES
Z98425487,1224024-R-07,E07,302.371,-0.003,1,85.560,3,,Cc1nn(CC(=O)NC2CCC(C)CC2)c(=O)c(C#N)c1C
Z108808272,1224024-R-07,E08,277.405,2.172,1,46.920,5,,Cc1nn(CC(C)C)c(C)c1CC(=O)NC1CCCC1
Z98638831,1224024-R-07,E09,287.271,1.679,2,101.380,4,,Cc1nn(CCO)c2nc(-c3ccco3)cc(C(=O)O)c12
Z296522552,1224024-R-07,E10,263.335,1.864,1,54.460,4,,CCC(C)C(=O)Nc1ccc(N2CCOCC2)cn1
Z335307612,1224024-R-07,E11,276.291,0.620,1,93.510,4,,CC(C)NC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z271111768,1224024-R-07,F02,342.353,1.488,2,100.850,6,,COCCn1c(NN=Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C
Z226179934,1224024-R-07,F03,265.331,0.256,2,85.080,4,,NC(=O)Cc1csc(NC(=O)C2CC=CCC2)n1
Z314612316,1224024-R-07,F04,312.363,2.398,1,56.510,7,,COc1ccc(OCCn2c(CCO)nc3ccccc32)cc1
Z315982242,1224024-R-07,F05,246.268,-0.674,2,120.520,4,,CCC(C)NC(=O)Cn1c(N)nc(C#N)c1C#N
Z94599990,1224024-R-07,F06,265.308,0.849,2,78.510,3,,O=C(Cn1ccc(=O)[nH]c1=O)NC1CCCCCC1
Z31371484,1224024-R-07,F07,286.326,1.872,1,60.420,6,,Cc1nc2ccccc2n1CC(O)COCc1ccco1
Z301096034,1224024-R-07,F08,330.353,2.797,1,53.010,6,,Cn1c(=O)n(CC(O)COCc2ccccc2F)c2ccccc21
Z301095806,1224024-R-07,F09,340.373,2.449,1,70.080,6,,CC(=O)c1ccc(OCC(O)Cn2c(=O)n(C)c3ccccc32)cc1
Z297821090,1224024-R-07,F10,338.359,0.563,1,105.020,6,,CC(C)(CNC(=O)Cn1cc([N+](=O)[O-])ccc1=O)N1CCOCC1
Z31336145,1224024-R-07,F11,298.336,1.445,2,67.510,6,,OCc1nc2ccccc2n1CC(O)COc1ccccc1
Z31371295,1224024-R-07,G02,340.373,1.900,1,73.580,7,,COc1cc(C(C)=O)ccc1OCC(O)Cn1cnc2ccccc21
Z24061616,1224024-R-07,G03,299.346,-0.705,1,86.790,3,,CNC(=O)Cn1cc(S(=O)(=O)N2CCCC2)ccc1=O
Z240974220,1224024-R-07,G04,286.301,1.435,2,58.280,4,,OCc1nc2ccccc2n1CC(O)c1ccc(F)cc1
Z284427946,1224024-R-07,G05,281.374,1.243,1,54.460,5,,CSCCC(=O)Nc1ccc(N2CCOCC2)cn1
Z25823248,1224024-R-07,G06,300.327,2.702,1,47.280,5,,CC(O)c1nc2ccccc2n1CCOc1ccccc1F
Z19024505,1224024-R-07,G07,290.146,-0.296,1,61.770,3,,O=C(Cn1ncc(Cl)c(Cl)c1=O)NC1CCCC1
Z301096664,1224024-R-07,G08,328.362,2.798,1,62.240,6,,COc1ccc(OCC(O)Cn2c(=O)n(C)c3ccccc32)cc1
Z333675756,1224024-R-07,G09,291.389,1.314,1,54.460,5,,CC(C)(C)CC(=O)NCc1cccnc1N1CCOCC1
Z335307350,1224024-R-07,G10,274.275,0.366,1,93.510,4,,N#Cc1cn(C2CC2)c(=O)n(CC(=O)NC2CC2)c1=O
Z19024067,1224024-R-07,G11,333.171,0.154,2,90.870,3,,O=C(Cn1ncc(Cl)c(Cl)c1=O)NC(=O)NC1CCCC1
Z46179875,1224024-R-07,H02,295.765,1.237,1,50.520,4,,OCCn1c(CN2CCOCC2)nc2ccc(Cl)cc21
Z29729148,1224024-R-07,H03,338.402,0.342,2,104.970,7,,COCCN(C(=O)C1CCC1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
Z286879306,1224024-R-07,H04,270.328,0.649,2,87.900,7,,CCCn1c(N)c(N(CC)CCOC)c(=O)[nH]c1=O
Z284413756,1224024-R-07,H05,277.362,2.353,1,54.460,4,,CC(C)(C)CC(=O)Nc1ccc(N2CCOCC2)cn1
Z108824006,1224024-R-07,H06,249.352,1.284,1,46.920,5,,Cc1nn(CC(C)C)c(C)c1CC(=O)NC1CC1
Z238078508,1224024-R-07,H07,277.362,0.825,1,54.460,5,,CCC(C)C(=O)NCc1ccc(N2CCOCC2)nc1
Z301095768,1224024-R-07,H08,316.327,2.792,1,53.010,5,,Cn1c(=O)n(CC(O)COc2ccccc2F)c2ccccc21
Z212134512,1224024-R-07,H09,263.379,1.893,1,46.920,4,,Cc1nn(C)c(C)c1CC(=O)NCC1CCCCC1
Z335307620,1224024-R-07,H10,292.291,0.218,1,102.740,6,,COCCNC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z16406781,1224024-R-07,H11,304.265,1.192,1,58.640,5,,O=C(Cn1cc(C(F)(F)F)ccc1=O)NCC1CCCO1
Z1696924564,1224024-R-08,A02,207.229,0.500,1,64.110,2,,O=C(Nc1cnccn1)C1CCCCO1
Z1537072860,1224024-R-08,A03,334.797,2.379,1,62.130,6,,O=c1cc(C2CCC2)ncn1CC(O)COc1ccccc1Cl
Z434541956,1224024-R-08,A04,326.414,1.122,2,91.400,5,,CCN(CC)c1ccc(NC(=O)NC2CCS(=O)(=O)C2)cn1
Z495898828,1224024-R-08,A05,280.369,0.276,3,76.290,4,,CN1CCN(C(C)(C)CNC(=O)Nc2cn[nH]c2)CC1
Z411695980,1224024-R-08,A06,279.338,-1.120,2,79.260,3,,CCn1cc(NC(=O)NC2CCN(C(C)=O)CC2)cn1
Z856112722,1224024-R-08,A07,306.281,1.601,2,67.430,7,,CCCCOC(C)C(=O)Nc1cc(C(F)(F)F)c[nH]c1=O
Z486387774,1224024-R-08,A08,237.301,1.672,3,73.050,4,,O=C(NCCN1CCCCC1)Nc1cn[nH]c1
Z822142940,1224024-R-08,A09,319.399,0.807,2,70.750,5,,CC1CN(CC(O)Cn2c(CO)nc3ccccc32)CC(C)O1
Z495780740,1224024-R-08,A10,281.354,1.695,3,82.280,5,,CC(C)C(CNC(=O)Nc1cn[nH]c1)N1CCOCC1
Z651884886,1224024-R-08,A11,293.322,-1.643,2,110.320,4,,CC(=O)N1CCCC(C(=O)Nc2cnn(CC(N)=O)c2)C1
Z1732180772,1224024-R-08,B02,280.298,1.386,2,74.330,3,,CC(C)N1CCC(NC(=O)Nc2ccc(F)cn2)C1=O
Z1537070721,1224024-R-08,B03,340.419,2.192,1,70.720,5,,Cc1cc2ncn(CC(O)Cn3cnc(C(C)C)cc3=O)c2cc1C
Z410716100,1224024-R-08,B04,286.351,-1.726,2,93.090,3,,Cc1cc(NC(=O)NCC2CCS(=O)(=O)C2)n(C)n1
Z446560972,1224024-R-08,B05,224.260,0.062,4,90.040,2,,O=C(Nc1cn[nH]c1)NC1CCC(O)CC1
Z595835078,1224024-R-08,B06,279.338,1.084,3,102.040,4,,CC1CCC(NC(=O)Nc2cnn(CC(N)=O)c2)CC1
Z507534742,1224024-R-08,B07,318.292,1.736,2,67.430,5,,O=C(COC1CCCCC1)Nc1cc(C(F)(F)F)c[nH]c1=O
Z558594834,1224024-R-08,B08,274.361,1.663,2,57.260,2,,Cc1cccnc1NC(=O)NC1CCN2CCCCC12
Z822170798,1224024-R-08,B09,309.354,2.741,1,41.290,4,,CC1CCN(CC(O)Cn2cnc3cc(F)c(F)cc32)CC1
Z822176684,1224024-R-08,B10,289.330,1.886,1,84.640,3,,N#Cc1cn(C2CC2)c(=O)n(CC2(O)CCCCC2)c1=O
Z432143780,1224024-R-08,B11,298.365,-0.319,2,90.460,4,,CC(=O)N1CCN(CCNC(=O)Nc2nncs2)CC1
Z1513820257,1224024-R-08,C02,328.286,0.478,1,62.130,7,,O=c1ccc(C(F)(F)F)nn1C[C@H](O)COCc1ccccc1
Z68331037,1224024-R-08,C03,284.396,2.181,1,41.990,4,,O=C(NCCc1ccccn1)C12CC3CC(CC(C3)C1)C2
Z511521426,1224024-R-08,C04,265.355,0.637,1,53.400,3,,CC(Cn1cccn1)NC(=O)N1CCCN(C)CC1
Z433973662,1224024-R-08,C05,265.308,1.369,3,83.480,3,,COc1ccc(NC(=O)NC2CCC(O)CC2)cn1
Z507534836,1224024-R-08,C06,304.265,1.177,2,67.430,5,,O=C(COC1CCCC1)Nc1cc(C(F)(F)F)c[nH]c1=O
Z872068520,1224024-R-08,C07,334.291,0.657,2,76.660,6,,CC(OCC1CCCO1)C(=O)Nc1cc(C(F)(F)F)c[nH]c1=O
Z371277002,1224024-R-08,C08,280.320,0.853,1,69.680,6,,COCCOc1ccc(NC(=O)C2CCOCC2)cn1
Z434539476,1224024-R-08,C09,331.456,3.496,2,60.500,5,,CCN(CC)c1ccc(NC(=O)NC2CCN3CCCCC23)cn1
Z900702654,1224024-R-08,C10,276.377,2.827,2,57.260,4,,CC1CCN(C(C)CNC(=O)Nc2ccccn2)CC1
Z558417768,1224024-R-08,C11,290.361,1.561,2,74.330,4,,Cc1cccnc1NC(=O)NCCN1CCCCCC1=O
Z1787094883,1224024-R-08,D02,261.320,1.547,1,54.460,4,,C=CC(C)NC(=O)c1cc(N2CCOCC2)ccn1
Z1184507278,1224024-R-08,D03,339.413,1.166,2,94.640,3,,CS(=O)(=O)N1CCN(c2ccc(NC(=O)NC3CC3)cn2)CC1
Z411309674,1224024-R-08,D04,270.351,1.982,2,76.140,5,,CCCc1nnc(NC(=O)NCC2CCCO2)s1
Z411695230,1224024-R-08,D05,294.353,-0.831,3,105.280,5,,CCn1cc(NC(=O)NC2CCN(CC(N)=O)CC2)cn1
Z435642696,1224024-R-08,D06,290.361,2.573,2,66.490,3,,COc1ncccc1NC(=O)NC1CCN2CCCCC12
Z513248776,1224024-R-08,D07,280.326,-0.554,4,102.150,4,,CNC(=O)CN1CCC(NC(=O)Nc2cn[nH]c2)CC1
Z642139136,1224024-R-08,D08,286.301,2.699,1,43.780,3,,Cn1c(=O)n(CC(O)c2cccc(F)c2)c2ccccc21
Z445985128,1224024-R-08,D09,235.282,1.101,2,63.250,3,,Cc1cccnc1NC(=O)NCC1CCCO1
Z994080494,1224024-R-08,D10,296.792,2.990,1,55.130,4,,Cc1noc(Cl)c1CC(=O)NC(C)C1CC2CCC1C2
Z403711476,1224024-R-08,D11,233.309,0.945,1,46.920,4,,CC(Cn1ccnc1)NC(=O)C1CC=CCC1
Z494697562,1224024-R-08,E02,287.339,-0.624,3,107.190,2,,CS(=O)(=O)N1CCC(NC(=O)Nc2cn[nH]c2)CC1
Z403317948,1224024-R-08,E03,236.270,-0.128,2,76.020,3,,O=C(Cn1cccn1)NC1CCCCNC1=O
Z411697322,1224024-R-08,E04,238.286,0.808,2,68.180,4,,CCn1cc(NC(=O)NCC2CCCO2)cn1
Z449211602,1224024-R-08,E05,251.285,-1.224,3,90.120,2,,CC(=O)N1CCC(NC(=O)Nc2cn[nH]c2)CC1
Z535438492,1224024-R-08,E06,224.260,1.013,3,79.040,3,,CC(NC(=O)Nc1cn[nH]c1)C1CCCO1
Z449216652,1224024-R-08,E07,276.334,-0.827,2,74.330,2,,CC(=O)N1CCC(NC(=O)Nc2ncccc2C)CC1
Z787722876,1224024-R-08,E08,329.318,2.793,3,70.230,5,,O=C(NCCC1=CCCCC1)Nc1cc(C(F)(F)F)c[nH]c1=O
Z535532638,1224024-R-08,E09,249.309,1.410,2,63.250,3,,Cc1cccnc1NC(=O)NC(C)C1CCCO1
Z407263414,1224024-R-08,E10,322.360,0.294,1,90.030,5,,Cn1c(=O)ccn(CC(=O)NCCN2CCCCCC2=O)c1=O
Z423052820,1224024-R-08,E11,309.361,1.105,2,87.740,6,,CC1CCCCC1OCCNC(=O)Cn1ccc(=O)[nH]c1=O
Z641592686,1224024-R-08,F02,318.397,1.715,1,81.650,5,,Cc1cc2ncn(CC(O)CSc3nnnn3C)c2cc1C
Z787722934,1224024-R-08,F03,318.295,0.156,3,73.470,3,,CN1CCC(NC(=O)Nc2cc(C(F)(F)F)c[nH]c2=O)CC1
Z495807578,1224024-R-08,F04,296.389,0.108,1,65.540,3,,CC(=O)N1CCN(C(=O)NCCc2csc(C)n2)CC1
Z411694358,1224024-R-08,F05,272.324,-1.004,2,93.090,3,,CCn1cc(NC(=O)NC2CCS(=O)(=O)C2)cn1
Z435648400,1224024-R-08,F06,265.308,2.319,2,72.480,4,,COc1ncccc1NC(=O)NC(C)C1CCCO1
Z447542248,1224024-R-08,F07,292.377,1.563,2,66.490,4,,Cc1cccnc1NC(=O)NCC(C)(C)N1CCOCC1
Z785393152,1224024-R-08,F08,331.452,1.936,1,50.520,6,,CCOC1CCN(CC(O)Cn2cnc3cc(C)c(C)cc32)CC1
Z641240780,1224024-R-08,F09,330.425,0.612,2,84.380,5,,Cc1cc2ncn(CC(O)CN3CCC(C(N)=O)CC3)c2cc1C
Z907760878,1224024-R-08,F10,280.326,-2.024,1,93.010,4,,CCc1nnnn1CC(=O)NC1CCN(C(C)=O)CC1
Z651881598,1224024-R-08,F11,276.334,1.448,2,90.010,5,,NC(=O)Cn1cc(NC(=O)CC2CC3CCC2C3)cn1
Z1025100566,1224024-R-08,G02,297.416,0.865,3,74.250,5,,CCc1nc(CCNC(=O)NC2CCC(O)CC2)cs1
Z838359750,1224024-R-08,G03,319.280,1.113,3,79.460,4,,O=C(NCC1CCCCO1)Nc1cc(C(F)(F)F)c[nH]c1=O
Z979277174,1224024-R-08,G04,345.439,2.065,3,86.360,3,,O=C(Nc1ccncc1)NC1CCN(C(=O)NC2CCCCC2)CC1
Z434534752,1224024-R-08,G05,346.427,0.466,3,103.590,5,,NC(=O)CN1CCC(NC(=O)Nc2cccnc2N2CCCC2)CC1
Z434531032,1224024-R-08,G06,331.413,0.062,2,77.570,3,,CC(=O)N1CCC(NC(=O)Nc2cccnc2N2CCCC2)CC1
Z411694302,1224024-R-08,G07,252.313,0.166,3,79.180,3,,CCn1cc(NC(=O)NC2CCC(O)CC2)cn1
Z822167118,1224024-R-08,G08,292.334,1.151,1,78.670,2,,Cn1c(=O)c2c(ncn2CC2(O)CCCCC2)n(C)c1=O
Z992051420,1224024-R-08,G09,248.281,-0.272,3,83.120,2,,Cc1cccnc1NC(=O)NC1CCC(=O)NC1
Z511581916,1224024-R-08,G10,278.350,1.164,2,66.490,4,,Cc1cccnc1NC(=O)NC(C)CN1CCOCC1
Z642209738,1224024-R-08,G11,325.405,2.044,1,76.690,5,,Cc1nn(CC(O)c2ccc(CC(C)C)cc2)c(=O)c(C#N)c1C
Z641593074,1224024-R-08,H02,329.417,0.627,1,64.990,5,,Cc1cc2ncn(CC(O)CSc3cccc[n+]3[O-])c2cc1C
Z447488848,1224024-R-08,H03,279.381,1.773,2,62.190,4,,Cc1cc(NC(=O)NCC2(N(C)C)CCCC2)n(C)n1
Z510770346,1224024-R-08,H04,278.350,1.164,2,66.490,4,,Cc1cccnc1NC(=O)NCC(C)N1CCOCC1
Z495962372,1224024-R-08,H05,334.413,0.457,2,75.720,5,,Cc1cccnc1NC(=O)NCC(C1CCOC1)N1CCOCC1
Z820998412,1224024-R-08,H06,319.280,0.349,3,79.460,4,,O=C(NCC1CCCOC1)Nc1cc(C(F)(F)F)c[nH]c1=O
Z510759188,1224024-R-08,H07,253.301,0.767,3,82.280,4,,CC(CNC(=O)Nc1cn[nH]c1)N1CCOCC1
Z324800060,1224024-R-08,H08,278.307,1.092,1,85.670,3,,CC(Nc1c(C#N)c(=O)n(C)c(=O)n1C)C1CCCO1
Z495689808,1224024-R-08,H09,292.377,2.088,2,66.490,5,,CC1CN(CCCNC(=O)Nc2ccccn2)CC(C)O1
Z363610708,1224024-R-08,H10,315.291,1.157,1,62.300,6,,O=C(NCCc1ccccn1)C1CC(=O)N(CC(F)(F)F)C1
Z1287173494,1224024-R-08,H11,248.281,0.537,3,97.110,3,,NC(=O)C1CCCC1NC(=O)Nc1ccncc1
Z90125001,1224024-R-09,A02,338.283,0.139,2,104.970,7,,CCCn1c(N)c(N(CCOC)C(=O)C(F)(F)F)c(=O)[nH]c1=O
Z50981399,1224024-R-09,A03,313.275,1.373,1,73.200,4,,N#CC1(NC(=O)Cn2cc(C(F)(F)F)ccc2=O)CCCC1
Z51966622,1224024-R-09,A04,237.278,-0.871,1,61.770,2,,O=C(Cn1ccccc1=O)NC1=NCCS1
Z16406435,1224024-R-09,A05,338.303,-0.619,1,83.550,4,,O=C(Cn1cc(C(F)(F)F)ccc1=O)NC1CCS(=O)(=O)C1
Z637741784,1224024-R-09,A06,328.362,2.753,1,65.740,6,,COCCn1c(-c2cc(OC)c(O)c(OC)c2)nc2ccccc21
Z422679296,1224024-R-09,A07,292.420,1.401,1,50.160,5,,Cc1nn(C)c(C)c1CC(=O)NCCN1CCCC(C)C1
Z434203920,1224024-R-09,A08,278.350,1.948,2,66.490,4,,CCC(C)NC(=O)Nc1ccc(N2CCOCC2)nc1
Z82877805,1224024-R-09,A09,262.347,1.802,1,55.130,5,,Cc1noc(C)c1CC(=O)NCCC1=CCCCC1
Z238920830,1224024-R-09,A10,308.336,-0.763,2,91.730,4,,COCCn1c(N2CCNCC2)nc2c1c(=O)[nH]c(=O)n2C
Z16406599,1224024-R-09,A11,313.275,1.063,1,73.200,5,,CC(C#N)(NC(=O)Cn1cc(C(F)(F)F)ccc1=O)C1CC1
Z31111182,1224024-R-09,B02,329.415,1.039,2,91.760,7,,O=S(=O)(c1ccc(NCCOCCO)nc1)N1CCCCC1
Z17861156,1224024-R-09,B03,307.345,2.322,1,92.550,4,,CC1CCCC(NC(=O)Cn2cc([N+](=O)[O-])ccc2=O)C1C
Z86225646,1224024-R-09,B04,263.335,1.496,1,68.450,2,,Cc1cc(C)c(C(N)=O)c(N2CC(C)OC(C)C2)n1
Z30676613,1224024-R-09,B05,324.375,-0.057,2,104.970,7,,CCCn1c(N)c(N(CCOC)C(=O)C2CCC2)c(=O)[nH]c1=O
Z381474098,1224024-R-09,B06,208.214,-0.069,1,60.450,2,,O=C(Nc1ccccn1)C1COCCO1
Z422675178,1224024-R-09,B07,292.420,1.401,1,50.160,5,,Cc1nn(C)c(C)c1CC(=O)NCCN1CCCCC1C
Z403711746,1224024-R-09,B08,235.325,1.429,1,46.920,4,,CC(Cn1ccnc1)NC(=O)C1CCCCC1
Z111665282,1224024-R-09,B09,298.336,2.049,1,56.510,6,,COc1ccccc1OCCn1c(CO)nc2ccccc21
Z238920866,1224024-R-09,B10,336.389,0.082,1,82.940,5,,CCOCCn1c(N2CCN(C)CC2)nc2c1c(=O)[nH]c(=O)n2C
Z239548886,1224024-R-09,B11,313.351,1.760,1,69.290,7,,CCOCCn1c(CNC(=O)c2ccco2)nc2ccccc21
Z31371479,1224024-R-09,C02,282.337,2.752,1,47.280,5,,Cc1nc2ccccc2n1CC(O)COc1ccccc1
Z17861209,1224024-R-09,C03,279.292,1.284,1,92.550,4,,O=C(Cn1cc([N+](=O)[O-])ccc1=O)NC1CCCCC1
Z19024018,1224024-R-09,C04,318.199,0.782,1,61.770,3,,CC1CCCCC1NC(=O)Cn1ncc(Cl)c(Cl)c1=O
Z30676484,1224024-R-09,C05,284.312,-0.970,2,104.970,6,,CCCn1c(N)c(N(CCOC)C(C)=O)c(=O)[nH]c1=O
Z396942686,1224024-R-09,C06,277.362,1.370,1,52.650,5,,CC(CN1CCCCC1)NC(=O)Cn1ccccc1=O
Z906123784,1224024-R-09,C07,318.331,0.207,1,94.280,4,,COCCn1c(-n2nc(C)cc2C)nc2c1c(=O)[nH]c(=O)n2C
Z383181936,1224024-R-09,C08,289.373,0.631,2,71.090,7,,O=C(CCNC(=O)C1CCCC1)NCCc1cccnc1
Z25755521,1224024-R-09,C09,298.336,2.399,1,56.510,6,,COc1ccc(OCCn2c(CO)nc3ccccc32)cc1
Z16406324,1224024-R-09,C10,328.329,3.040,1,49.410,6,,O=C(Cn1cc(C(F)(F)F)ccc1=O)NCCC1=CCCCC1
Z239605834,1224024-R-09,C11,313.351,1.680,1,69.290,6,,COCCn1c(C(C)NC(=O)c2ccco2)nc2ccccc21
Z16216581,1224024-R-09,D02,305.395,1.794,1,56.150,7,,COCCn1c(SCC(=O)NC2CC2)nc2ccccc21
Z17860710,1224024-R-09,D03,305.329,1.948,1,92.550,6,,O=C(Cn1cc([N+](=O)[O-])ccc1=O)NCCC1=CCCCC1
Z30676614,1224024-R-09,D04,338.402,0.502,2,104.970,7,,CCCn1c(N)c(N(CCOC)C(=O)C2CCCC2)c(=O)[nH]c1=O
Z166722616,1224024-R-09,D05,237.298,2.844,2,67.160,2,,Cc1cc(NC(=O)NC2CCC(C)CC2)no1
Z454305436,1224024-R-09,D06,314.768,0.290,1,76.580,6,,COCCCNC(=O)c1nc(N2CCOCC2)ncc1Cl
Z403712784,1224024-R-09,D07,263.296,0.102,1,79.590,4,,CC(Cn1ccnc1)NC(=O)C1=NN(C)C(=O)CC1
Z203973648,1224024-R-09,D08,278.350,2.277,2,76.020,3,,CC1CCCC(NC(=O)NC(=O)Cn2ccnc2)C1C
Z57187117,1224024-R-09,D09,234.294,1.168,1,47.280,5,,CCOCCn1c(C(C)O)nc2ccccc21
Z239083212,1224024-R-09,D10,322.363,-0.307,1,82.940,4,,COCCn1c(N2CCN(C)CC2)nc2c1c(=O)[nH]c(=O)n2C
Z62777877,1224024-R-09,D11,293.404,1.721,1,58.370,5,,Cc1noc(C)c1CC(=O)NCC1(N(C)C)CCCCC1
Z16216119,1224024-R-09,E02,279.358,1.253,1,70.140,6,,COCCn1c(SC(C)C(N)=O)nc2ccccc21
Z82187638,1224024-R-09,E03,268.375,1.198,1,49.410,3,,Cc1csc(=O)n1CC(=O)NC1CCCCCC1
Z107165248,1224024-R-09,E04,321.375,0.363,2,98.980,4,,Cn1c(N)c(N2CCCCC2)c(=O)n(CC(=O)NC2CC2)c1=O
Z82187673,1224024-R-09,E05,282.402,1.757,1,49.410,3,,Cc1csc(=O)n1CC(=O)NC1CCCCCCC1
Z33597708,1224024-R-09,E06,252.376,2.083,1,41.990,3,,Cc1nc(CC(=O)NC2CCC(C)CC2)cs1
Z319059224,1224024-R-09,E07,299.389,-2.445,1,81.060,4,,Cc1nn(C)c(C)c1CC(=O)NCC1CCS(=O)(=O)C1
Z57912373,1224024-R-09,E08,254.305,0.779,2,78.760,5,,C=C(C)CSc1nc(C)c(CC(=O)O)c(=O)[nH]1
Z238883356,1224024-R-09,E09,323.348,-0.998,1,88.930,5,,COCCn1c(CN2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C
Z239083228,1224024-R-09,E10,239.231,-1.005,2,102.480,3,,COCCn1c(N)nc2c1c(=O)[nH]c(=O)n2C
Z24061610,1224024-R-09,E11,341.426,0.532,1,86.790,4,,CC(C)(C)NC(=O)Cn1cc(S(=O)(=O)N2CCCC2)ccc1=O
Z16406777,1224024-R-09,F02,288.266,1.817,1,49.410,4,,O=C(Cn1cc(C(F)(F)F)ccc1=O)NC1CCCC1
Z16406487,1224024-R-09,F03,331.290,2.123,2,78.510,4,,O=C(Cn1cc(C(F)(F)F)ccc1=O)NC(=O)NC1CCCC1
Z30676493,1224024-R-09,F04,326.391,0.267,2,104.970,7,,CCCn1c(N)c(N(CCOC)C(=O)C(C)(C)C)c(=O)[nH]c1=O
Z98305001,1224024-R-09,F05,288.266,1.627,1,49.410,5,,CC(NC(=O)Cn1cc(C(F)(F)F)ccc1=O)C1CC1
Z384361778,1224024-R-09,F06,238.283,-1.071,1,64.360,4,,Cc1noc(C)c1CC(=O)NCC1CCOC1
Z543674408,1224024-R-09,F07,291.392,0.722,2,62.190,4,,Cn1cc(CCNC(=O)NC2CCN3CCCCC23)cn1
Z224061142,1224024-R-09,F08,341.427,2.292,1,70.140,7,,COCCn1c(SC(C(N)=O)c2ccccc2)nc2ccccc21
Z238883452,1224024-R-09,F09,337.374,-0.609,1,88.930,6,,CCOCCn1c(CN2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C
Z57841125,1224024-R-09,F10,337.416,2.494,1,56.150,7,,CC(=O)NCCc1nc2ccccc2n1CCOc1ccccc1C
Z226855882,1224024-R-09,F11,318.371,2.377,1,93.510,5,,CCn1cc(C#N)c(=O)n(CC(=O)NCC2CCCCC2)c1=O
Z30153090,1224024-R-09,G02,338.402,0.788,2,104.970,7,,CCCCN(C(=O)C1CCCO1)c1c(N)n(CCC)c(=O)[nH]c1=O
Z17860842,1224024-R-09,G03,293.318,1.803,1,92.550,4,,CC1CCCCC1NC(=O)Cn1cc([N+](=O)[O-])ccc1=O
Z19023787,1224024-R-09,G04,330.210,0.927,1,61.770,5,,O=C(Cn1ncc(Cl)c(Cl)c1=O)NCCC1=CCCCC1
Z450311144,1224024-R-09,G05,327.767,-0.820,2,96.450,5,,CC(=O)NCCNC(=O)c1nc(N2CCOCC2)ncc1Cl
Z118405116,1224024-R-09,G06,336.429,-0.272,2,83.030,5,,COCCn1nc(C(=O)NC2CC(C)(C)NC(C)(C)C2)ccc1=O
Z145536764,1224024-R-09,G07,322.403,-1.234,1,74.240,6,,COCCn1nc(C(=O)NC2CCN(C(C)C)CC2)ccc1=O
Z235486180,1224024-R-09,G08,309.321,-0.749,1,88.930,4,,COCCn1c(N2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C
Z238917592,1224024-R-09,G09,322.363,-0.374,2,91.730,5,,CCOCCn1c(N2CCNCC2)nc2c1c(=O)[nH]c(=O)n2C
Z239092914,1224024-R-09,G10,323.389,2.598,1,56.150,7,,Cc1cccc(OCCn2c(CCNC=O)nc3ccccc32)c1
Z94558922,1224024-R-09,G11,317.343,-0.631,2,114.660,3,,Cc1nn(CC(=O)NC(=O)NC2CCCC2)c(=O)c(C#N)c1C
Z118404796,1224024-R-09,H02,282.319,-2.984,1,83.360,4,,COCCn1nc(C(=O)NC2=NCCS2)ccc1=O
Z17861155,1224024-R-09,H03,293.318,1.903,1,92.550,5,,O=C(Cn1cc([N+](=O)[O-])ccc1=O)NCC1CCCCC1
Z16406769,1224024-R-09,H04,316.319,2.995,1,49.410,5,,O=C(Cn1cc(C(F)(F)F)ccc1=O)NCC1CCCCC1
Z368629590,1224024-R-09,H05,289.373,2.325,2,59.310,5,,CC(O)CNc1nc2ccccc2n1CC1CCCCO1
Z390718058,1224024-R-09,H06,304.316,1.866,1,72.630,5,,Cc1cc(C)n(CCOc2cccc(F)c2)c(=O)c1C(N)=O
Z409670848,1224024-R-09,H07,211.284,1.985,2,54.020,3,,CC1CC1CNC(=O)Nc1nccs1
Z16215716,1224024-R-09,H08,330.405,1.035,1,93.930,7,,COCCn1c(SCC(=O)C(C#N)=C(C)N)nc2ccccc21
Z238917704,1224024-R-09,H09,283.284,-0.944,3,108.720,6,,COCCn1c(NCCO)nc2c1c(=O)[nH]c(=O)n2C
Z239547110,1224024-R-09,H10,327.378,2.069,1,69.290,7,,CCOCCn1c(C(C)NC(=O)c2ccco2)nc2ccccc21
Z94559205,1224024-R-09,H11,331.370,-0.072,2,114.660,3,,Cc1nn(CC(=O)NC(=O)NC2CCCCC2)c(=O)c(C#N)c1C
Z1188704927,1224024-R-10,A02,279.378,1.493,1,56.150,6,,CC1CCCC(OCC(=O)NCCc2cnn(C)c2)C1
Z414796914,1224024-R-10,A03,264.367,1.354,1,50.160,5,,CC1CCCN(C(=O)CNC(C)Cn2cccn2)C1
Z1139454281,1224024-R-10,A04,210.276,0.023,2,72.940,6,,CCC(NCCn1cc(C)cn1)C(N)=O
Z236278496,1224024-R-10,A05,277.362,0.695,1,54.460,4,,CC(C)(C)C(=O)NCc1ccc(N2CCOCC2)nc1
Z535434102,1224024-R-10,A06,266.339,0.469,2,68.180,5,,CC(NC(=O)NCCc1cnn(C)c1)C1CCCO1
