Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds,ID,SMILES
Z31371275,1224024-R-01,D11,312.363,2.346,1,56.510,7,,COc1ccccc1COCC(O)Cn1cnc2ccccc21
Z335307218,1224024-R-01,E02,234.211,-0.484,1,107.500,3,,N#Cc1cn(C2CC2)c(=O)n(CC(N)=O)c1=O
Z356369672,1224024-R-01,E03,272.259,0.382,1,93.510,4,,C#CCNC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z372962382,1224024-R-01,E04,314.167,2.875,1,53.930,5,,CNc1cnn(CCOc2ccc(Cl)cc2)c(=O)c1Cl
Z333679022,1224024-R-01,E05,277.362,0.825,1,54.460,5,,CCC(C)C(=O)NCc1cccnc1N1CCOCC1
Z231299752,1224024-R-01,E06,307.348,-1.342,3,109.580,5,,CC(NC(N)=O)C(=O)NCc1ccc(N2CCOCC2)nc1
Z95532987,1224024-R-01,E07,295.400,0.980,1,62.300,6,,CC(C)CCNC(=O)Cc1csc(N2CCCC2=O)n1
Z16216652,1224024-R-01,E08,333.448,2.682,1,56.150,7,,COCCn1c(SCC(=O)NC2CCCC2)nc2ccccc21
Z402704366,1224024-R-01,E09,263.216,-1.000,2,70.560,4,,Cc1nc(C)c(CC(=O)NCC(F)(F)F)c(=O)[nH]1
Z346063614,1224024-R-01,E10,277.362,0.695,1,54.460,4,,CC(C)(C)C(=O)NCc1ccnc(N2CCOCC2)c1
Z57171764,1224024-R-01,E11,296.364,2.688,1,47.280,7,,OCCCc1nc2ccccc2n1CCOc1ccccc1
Z380844692,1224024-R-01,F02,233.309,-0.866,2,54.020,4,,Cl.Cl.O=C(NCCc1ccccn1)C1CCNCC1
Z355426892,1224024-R-01,F03,286.301,2.699,1,43.780,3,,Cn1c(=O)n(CC(O)c2ccccc2F)c2ccccc21
Z165207658,1224024-R-01,F04,344.193,2.111,2,74.160,7,,O=c1c(Cl)c(NCCO)cnn1CCOc1ccc(Cl)cc1
Z51503477,1224024-R-01,F05,299.776,1.682,1,70.140,6,,COCCn1c(SCC(N)=O)nc2cc(Cl)ccc21
Z316120026,1224024-R-01,F06,250.175,-1.233,3,92.420,4,,NC(=O)c1cc(CCO)c(C(F)(F)F)[nH]c1=O
Z281763918,1224024-R-01,F07,372.440,-2.173,1,108.380,6,,CCS(=O)(=O)N1CCC(NC(=O)c2ccc(=O)n(CCOC)n2)CC1
Z366605568,1224024-R-01,F08,332.318,1.464,1,58.640,6,,O=C(Cn1ccccc1=O)NC1CCCC(OCC(F)(F)F)C1
Z215139974,1224024-R-01,F09,250.320,1.069,1,84.820,3,,N#Cc1cnc(SCC2CCCCO2)nc1N
Z57187100,1224024-R-01,F10,220.268,0.779,1,47.280,4,,COCCn1c(C(C)O)nc2ccccc21
Z422426568,1224024-R-01,F11,296.389,1.189,2,74.330,5,,CC(C)C(C)NC(=O)Cc1csc(N2CCNC2=O)n1
Z335307644,1224024-R-01,G02,276.291,0.840,1,93.510,5,,CCCNC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
